2014-9-14	4	0	 de gea	 rafael	marcos rojo	jonny evans	tyler blackett	angel di maria	 mata	daley blind	 ander herrera	wayne rooney	robin van persie	adnan januzaj	antonio valencia	radamel falcao	anders lindegaard	luke shaw	darren fletcher	 andreas pereira	robert green	steven caulker	rio ferdinand	clint hill	mauricio isla	matt phillips	leroy fer	niko kranjcar	junior hoilett	 sandro	charlie austin	armand traore	karl henry	eduardo vargas	alex mccarthy	nedum onuoha	adel taarabt	bobby zamora
2014-9-15	2	2	allan mcgregor	curtis davies	michael dawson	andrew robertson	ahmed al muhammadi	tom huddlestone	jake livermore	momo diame	stephen quinn	abel hernandez	nikica jelavic	robbie brady	gaston ramirez	hatem ben arfa	steve harper	liam rosenior	james chester	david meyler	 adrian	winston reid	aaron cresswell	james tomkins	guy demel	cheikhou kouyate	stewart downing	mark noble	mauro zarate	diafra sakho	enner valencia	carl jenkinson	morgan amalfitano	alex song	jussi jaaskelainen	james collins	 ricardo vaz te	carlton cole
2014-9-20	2	2	robert green	armand traore	steven caulker	rio ferdinand	mauricio isla	joey barton	leroy fer	jordon mutch	niko kranjcar	charlie austin	eduardo vargas	matt phillips	karl henry	bobby zamora	alex mccarthy	nedum onuoha	richard dunne	junior hoilett	asmir begovic	phil bardsley	erik pieters	marc wilson	ryan shawcross	glenn whelan	steven n zonzi	charlie adam	victor moses	mame diouf	peter crouch	steven sidwell	marko arnautovic	thomas sorensen	robert huth	 muniesa	oussama assaidi	 bojan
2014-9-20	0	3	brad guzan	ciaran clark	philippe senderos	alan hutton	aly cissokho	tom cleverley	fabian delph	kieran richardson	carlos sanchez	andreas weimann	gabriel agbonlahor	leandro bacuna	charles n zogbia	jack grealish	shay given	jores okore	matthew lowton	joe cole	wojciech szczesny	kieran gibbs	per mertesacker	laurent koscielny	calum chambers	 mikel arteta	mesut ozil	aaron ramsey	 santi cazorla	alex oxlade chamberlain	danny welbeck	tomas rosicky	jack wilshere	lukas podolski	david ospina	abou diaby	francis coquelin	alexis sanchez
2014-9-20	0	0	tom heaton	kieran trippier	michael duff	jason shackell	ben mee	dean marney	david jones	scott arfield	marvin sordell	lukas jutkiewicz	george boyd	steven reid	ross wallace	ashley barnes	matt gilks	stephen ward	michael keane	michael kightly	vito mannone	patrick van aanholt	wes brown	john o shea	santiago vergini	lee cattermole	sebastian larsson	jack rodwell	adam johnson	emanuele giaccherini	connor wickham	 jordi gomez	jozy altidore	will buckley	costel pantilimon	billy jones	liam bridcutt	danny graham
2014-9-20	2	2	tim krul	fabricio coloccini	mike williamson	daryl janmaat	paul dummett	moussa sissoko	jack colback	remy cabella	cheick tiote	yoan gouffran	emmanuel riviere	papiss demba cisse	 ayoze perez	sammy ameobi	rob elliot	massadio haidara	steven taylor	vurnon anita	allan mcgregor	curtis davies	michael dawson	andrew robertson	ahmed al muhammadi	tom huddlestone	jake livermore	momo diame	stephen quinn	abel hernandez	nikica jelavic	liam rosenior	david meyler	sone aluko	steve harper	james chester	robbie brady	gaston ramirez
2014-9-20	0	1	lukasz fabianski	neil taylor	ashley williams	 angel rangel	federico fernandez	sung yueng ki	jonjo shelvey	nathan dyer	wayne routledge	gylfi sigurdsson	wilfried bony	jefferson montero	marvin emnes	gerhard tremmel	kyle bartley	tom carroll	jazz richards	bafetimbi gomis	fraser forster	nathaniel clyne	maya yoshida	 jose fonte	ryan bertrand	morgan schneiderlin	james ward prowse	jack cork	shane long	dusan tadic	graziano pelle	florin gardos	steven davis	victor wanyama	kelvin davis	matt targett	samuel mcqueen	emmanuel mayuka
2014-9-20	3	1	 adrian	winston reid	aaron cresswell	james tomkins	guy demel	cheikhou kouyate	stewart downing	mark noble	alex song	diafra sakho	enner valencia	carl jenkinson	james collins	morgan amalfitano	jussi jaaskelainen	mauro zarate	 ricardo vaz te	carlton cole	simon mignolet	dejan lovren	 alberto moreno	 manquillo	martin skrtel	steven gerrard	jordan henderson	 lucas leiva	raheem sterling	fabio borini	mario balotelli	mamadou sakho	adam lallana	rickie lambert	brad jones	 jose enrique	kolo toure	lazar markovic
2014-9-21	5	3	kasper schmeichel	ritchie de laet	paul konchesky	wes morgan	liam moore	danny drinkwater	dean hammond	esteban cambiasso	jamie vardy	leonardo ulloa	david nugent	jeffrey schlupp	matty james	andy king	ben hamer	marcin wasilewski	riyad mahrez	chris wood	 de gea	 rafael	marcos rojo	jonny evans	tyler blackett	angel di maria	daley blind	 ander herrera	radamel falcao	wayne rooney	robin van persie	chris smalling	 mata	adnan januzaj	anders lindegaard	luke shaw	darren fletcher	antonio valencia
2014-9-21	0	1	hugo lloris	danny rose	younes kaboul	vlad chiriches	eric dier	erik lamela	mousa dembele	christian eriksen	etienne capoue	emmanuel adebayor	nacer chadli	aaron lennon	 paulinho	 soldado	michel vorm	jan vertonghen	kyle naughton	nabil bentaleb	ben foster	andre wisdom	joleon lescott	sebastien pocognoli	craig dawson	james morrison	craig gardner	chris brunt	graham dorrans	stephane sessegnon	saido berahino	victor anichebe	boaz myhill	cristian gamboa	gareth mcauley	chris baird	youssuf mulumbu	brown ideye
